ablation,label,f1_mean,f1_std,acc_mean,acc_std,kappa_mean,kappa_std,mcc_mean,mcc_std,train_time_s_mean,train_time_s_std,lat_mean_ms_mean,lat_mean_ms_std,lat_std_ms_mean,lat_std_ms_std,lat_p50_ms_mean,lat_p50_ms_std,lat_p95_ms_mean,lat_p95_ms_std,lat_p99_ms_mean,lat_p99_ms_std,throughput_wps_mean,throughput_wps_std,peak_mem_mb_mean,peak_mem_mb_std,n_params_mean,n_params_std
full,Full (patches+stat+topo),0.8039027529641215,0.08220333871977631,0.7876839711429598,0.09619782904385782,0.7516798387908846,0.11065823886652405,0.7561117287925405,0.10734314578471928,107.44709761049599,17.717262585381153,1.3352019196748734,0.005689350532460783,0.19322513550522794,0.06336887069103793,1.291596806049347,0.007442984649462505,1.7011660718917843,0.061485080143202635,1.929783200740814,0.10672144118172278,41780.28116963479,487.8345387460567,83.045376,0.0,185228.0,0.0
no_stat,No-Stat (patches+topo),0.8128161106351026,0.07792653729963994,0.7977915556719115,0.08377956917104476,0.763380444146369,0.096484760673141,0.7660493569833589,0.09534723628174964,134.22735059149562,20.90688062595715,1.3593540850400923,0.043001348929826586,0.18025959972960748,0.04264690539685613,1.2888671875,0.008441006747598918,1.658270387649536,0.04706715249616521,1.8837195930480952,0.055856327556447836,42146.23545792378,973.862392809237,82.808832,0.0,182036.0,0.0
no_topo,No-Topo (patches+stat),0.8111798510720858,0.06534018977733907,0.7955887952542616,0.07791318206695708,0.7605111365690189,0.08982078877804985,0.7641202285275452,0.08795226499589488,137.5760880155489,19.310683384373924,1.3570803462982177,0.023045063773632874,0.2315047735372291,0.10281785588151529,1.2368224024772645,0.09497436779362983,1.7754620909690852,0.07918878879533847,1.9089207842350002,0.08156872571317406,41856.93523385063,459.0232017272413,82.823168,0.0,183828.0,0.0
patches_only,Patches Only (baseline),0.8022826260383977,0.08487953028187802,0.7863261031088971,0.09439085343659685,0.7498299903380581,0.1087509196503067,0.7531406624651774,0.10685320060321059,116.76589654218405,17.77007862390084,1.3293705592870713,0.014726807660818375,0.17806851552329034,0.05967777563974875,1.2775808215141295,0.0006097293146158918,1.6757161533832547,0.06591908312114023,1.848344892501831,0.08770138020954027,42725.257256324636,520.1584316230072,82.588672,0.0,180636.0,0.0
