class,full,full_precision,full_recall,no_stat,no_stat_precision,no_stat_recall,no_topo,no_topo_precision,no_topo_recall,patches_only,patches_only_precision,patches_only_recall
climbingdown,0.7975401841172881,0.7959482891801091,0.8183532018159685,0.8299228555177297,0.8124510870028743,0.8566076853575714,0.7880023426979876,0.7924734660916439,0.7940173316870804,0.7824710671716971,0.7665789978824056,0.8139633056504685
climbingup,0.8526363140648299,0.866283629836085,0.846750114754732,0.8658382998362055,0.8995560410772686,0.8425143966408866,0.8541249186594604,0.8256645410175529,0.9013000551691777,0.8755700830429987,0.8980419793400035,0.8592976036029623
jumping,0.9098322801251815,0.9074675324675324,0.937037037037037,0.9014990311328546,0.877894065246178,0.9444444444444443,0.9532759693321495,0.9753930817610061,0.9332634521313767,0.9150005794281485,0.918231021222048,0.9259259259259259
lying,0.8029098356849772,0.8123366966217791,0.8000639887667814,0.7660704950610862,0.754509883781313,0.7868772027254225,0.7824151448113138,0.771378712189742,0.8003079088128816,0.7615523833093075,0.7340343161657646,0.7944227548828084
running,0.8539881321811069,0.9753885093602168,0.7649825853482874,0.8591983573329449,0.9556648579843259,0.7844573020025766,0.8664689350926358,0.9650348905027398,0.7909495221214426,0.8684549793443332,0.9663254772259098,0.793482292407756
sitting,0.6367147728523731,0.647232344074182,0.6595175140302117,0.632982355794711,0.6483192920403094,0.6322550396367703,0.6536114077883795,0.6811259209041859,0.6551834134827963,0.6448214705514094,0.6620713874692774,0.6475446676068207
standing,0.7582997385144832,0.7002211269976405,0.8389817160870374,0.7687557883404554,0.7071371924451956,0.8490586591840661,0.7535197217708383,0.7179395002440796,0.8138054478120544,0.7735593161371568,0.7094636936676738,0.8541737032912131
walking,0.8193007661727318,0.8736002013090849,0.8035053434922712,0.8782617020648329,0.8968819571348489,0.8705725323475022,0.8380203684239209,0.8814041698123335,0.8110600221672974,0.7968311293221306,0.8864062090668401,0.7576255470177407
